"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"Christian McCaffrey","SF","211.8","992.4","7.4","73.8","624.2","4.0","1.0","265.5"
"","high","230.6","1,098.8","9.8","87.1","676.2","5.4","0.0","360.1"
"","low","191.7","872.6","6.0","66.0","547.4","2.5","3.0","233.9"
"Austin Ekeler","LAC","189.5","858.3","9.3","76.1","597.0","3.9","1.7","259.0"
"","high","214.2","1,026.2","11.0","85.0","674.0","5.0","0.6","352.9"
"","low","175.0","716.5","5.8","67.3","499.8","2.9","3.0","246.1"
"Bijan Robinson","ATL","247.6","1,178.3","8.8","41.2","347.4","2.1","1.9","235.0"
"","high","294.2","1,380.7","10.4","49.6","395.4","2.8","1.2","267.1"
"","low","215.8","1,065.8","7.0","29.0","230.2","1.4","4.0","210.6"
"Saquon Barkley","NYG","253.6","1,129.9","7.8","53.4","379.1","1.7","1.2","232.2"
"","high","302.4","1,372.8","10.7","54.1","429.9","2.2","0.3","287.7"
"","low","233.1","1,001.6","6.6","53.0","339.2","1.0","3.0","198.7"
"Derrick Henry","TEN","308.0","1,352.4","9.0","30.0","261.3","0.8","2.0","231.4"
"","high","333.3","1,538.3","10.8","36.4","345.4","1.4","1.6","292.4"
"","low","261.0","1,134.0","8.0","23.6","176.5","0.0","3.0","183.0"
"Nick Chubb","CLE","273.5","1,359.9","9.0","27.7","239.3","1.1","1.6","231.4"
"","high","342.5","1,695.9","11.2","32.8","292.8","1.7","0.9","278.6"
"","low","227.0","1,125.0","8.0","23.7","184.0","0.8","3.0","180.8"
"Josh Jacobs","LV","263.8","1,234.3","9.7","37.5","275.7","0.8","1.7","229.6"
"","high","282.9","1,443.2","10.7","42.4","319.1","1.7","1.1","304.2"
"","low","254.0","1,098.5","9.0","33.0","228.5","0.0","3.0","188.8"
"Tony Pollard","DAL","224.4","1,101.9","7.7","43.7","364.7","2.1","0.8","225.7"
"","high","294.9","1,396.6","10.7","47.2","420.5","2.5","0.0","274.4"
"","low","163.8","945.4","6.0","38.7","316.5","1.7","2.0","184.9"
"Joe Mixon","CIN","232.9","972.7","7.5","51.2","374.2","2.2","1.1","216.2"
"","high","261.0","1,149.2","9.7","62.2","524.0","2.9","0.5","317.4"
"","low","202.2","800.0","5.5","41.1","284.5","1.7","3.0","175.6"
"Jonathan Taylor","IND","278.6","1,292.9","8.2","30.7","218.0","0.8","2.1","215.8"
"","high","329.9","1,581.2","9.5","39.1","252.5","1.2","1.4","251.9"
"","low","256.4","1,189.0","7.3","22.6","167.5","0.0","3.0","185.4"
"Rhamondre Stevenson","NE","224.1","1,063.6","6.6","54.2","373.4","1.3","1.6","215.1"
"","high","276.1","1,236.3","9.4","64.6","520.6","2.2","0.7","311.1"
"","low","204.9","919.4","4.9","47.3","311.9","0.6","3.0","170.1"
"Breece Hall","NYJ","199.7","978.6","6.6","41.5","373.2","2.2","1.2","206.4"
"","high","278.5","1,293.3","8.1","42.8","466.0","3.0","0.5","257.8"
"","low","143.0","714.0","5.0","40.0","314.3","1.5","2.0","166.7"
"Aaron Jones","GB","195.3","968.7","5.7","49.2","373.8","2.6","1.3","205.8"
"","high","224.5","1,132.8","9.1","55.3","487.9","3.0","0.6","285.7"
"","low","179.0","835.3","4.0","43.5","303.8","2.4","2.0","170.6"
"Najee Harris","PIT","261.5","1,029.0","6.8","38.3","264.1","2.3","1.5","200.1"
"","high","299.3","1,268.6","9.0","42.7","296.5","3.0","0.5","240.2"
"","low","238.0","857.0","5.7","32.6","213.0","1.7","3.0","158.2"
"Travis Etienne Jr.","JAC","219.7","1,088.9","6.5","33.4","277.0","0.9","2.3","192.9"
"","high","255.8","1,193.5","8.7","40.2","322.5","1.8","1.6","233.3"
"","low","203.5","977.7","4.8","29.5","223.4","0.0","2.9","153.7"
"Alexander Mattison","MIN","209.6","928.8","8.1","34.5","236.6","1.7","1.2","190.2"
"","high","250.3","1,113.1","9.1","39.6","260.6","2.2","0.7","246.0"
"","low","177.9","735.0","6.4","29.0","194.0","1.2","2.0","157.2"
"James Conner","ARI","213.1","917.2","6.9","41.6","302.7","1.3","1.3","189.5"
"","high","252.7","1,085.6","8.0","43.0","330.5","1.7","0.5","252.4"
"","low","179.6","685.8","6.0","38.1","290.6","1.0","3.0","160.8"
"Kenneth Walker III","SEA","223.6","1,023.0","8.2","27.4","181.2","0.6","0.6","185.8"
"","high","264.1","1,199.1","9.0","30.0","213.6","1.3","0.0","218.6"
"","low","203.0","866.0","7.4","24.0","151.0","0.0","2.0","147.7"
"Dameon Pierce","HOU","260.0","1,075.2","5.9","32.8","217.8","1.1","2.3","183.4"
"","high","271.3","1,172.2","7.2","37.1","267.9","1.4","1.6","220.8"
"","low","227.0","966.4","4.2","31.0","170.0","1.0","3.0","166.4"
"Jahmyr Gibbs","DET","176.9","773.8","6.6","43.9","349.3","2.0","1.5","182.7"
"","high","199.9","899.8","7.6","48.1","412.0","2.7","0.8","220.0"
"","low","147.0","644.0","6.0","37.0","249.9","1.1","3.0","152.0"
"Rachaad White","TB","199.2","824.1","4.4","48.1","347.3","2.1","2.7","174.9"
"","high","242.0","1,039.4","6.6","55.0","438.7","3.5","1.4","242.7"
"","low","167.8","621.0","1.8","41.2","268.8","1.2","4.0","123.1"
"Miles Sanders","CAR","218.5","1,021.5","6.3","27.0","194.4","0.7","1.4","174.0"
"","high","255.0","1,181.2","8.2","36.1","297.9","1.4","1.0","205.0"
"","low","185.1","920.6","5.0","13.2","102.6","0.0","2.0","134.5"
"Isiah Pacheco","KC","195.4","942.5","7.0","25.3","206.0","0.7","1.9","170.1"
"","high","236.5","1,079.5","9.0","29.6","250.9","1.3","1.4","222.0"
"","low","169.0","831.1","5.0","20.1","148.3","0.0","2.4","129.7"
"Javonte Williams","DEN","181.5","849.9","4.8","40.1","274.0","1.9","1.6","169.3"
"","high","219.6","982.0","6.3","48.0","340.1","2.6","1.1","239.1"
"","low","166.0","742.1","3.0","27.5","189.4","1.5","2.0","135.1"
"David Montgomery","DET","199.9","795.1","6.4","34.5","293.6","1.2","1.3","169.0"
"","high","225.6","882.6","7.8","40.0","357.0","1.6","0.8","198.7"
"","low","172.0","641.0","5.1","28.6","246.8","0.8","2.0","139.3"
"Cam Akers","LAR","236.6","974.6","6.3","24.4","208.6","0.8","2.1","168.8"
"","high","285.2","1,264.3","7.0","33.3","280.9","1.6","1.1","199.1"
"","low","201.0","752.0","5.8","20.0","167.9","0.0","3.1","123.2"
"J.K. Dobbins","BAL","174.1","889.4","6.6","23.2","169.7","1.9","0.7","166.8"
"","high","238.0","1,073.2","7.2","27.7","195.0","3.0","0.0","185.0"
"","low","122.9","795.0","6.0","18.6","145.3","1.2","2.0","143.6"
"James Cook","BUF","158.8","803.2","4.8","34.2","260.1","1.7","1.4","159.6"
"","high","178.8","866.6","5.7","43.8","341.6","1.9","0.9","216.3"
"","low","121.8","724.3","4.0","20.0","172.0","1.0","2.0","126.1"
"Alvin Kamara","NO","166.2","700.3","3.5","41.1","361.1","1.7","1.1","155.7"
"","high","179.9","773.4","4.4","49.4","448.8","2.3","0.7","217.3"
"","low","154.0","626.0","2.0","32.2","248.6","1.0","2.0","123.6"
"D'Andre Swift","PHI","115.0","531.8","4.6","41.0","341.6","1.9","0.8","144.8"
"","high","126.1","616.0","5.0","51.7","480.3","2.4","0.7","212.3"
"","low","106.1","473.5","4.1","34.0","256.5","1.4","1.0","125.5"
"AJ Dillon","GB","166.6","734.3","5.8","24.9","202.3","0.7","0.9","143.5"
"","high","174.8","760.4","6.8","32.1","247.9","1.0","0.4","180.3"
"","low","153.9","709.0","4.6","18.8","147.7","0.0","2.0","117.4"
"Brian Robinson Jr.","WAS","222.1","929.1","4.5","15.0","99.2","0.8","0.7","141.0"
"","high","243.0","1,065.5","6.4","25.4","183.1","1.5","0.0","186.1"
"","low","200.0","818.9","1.6","7.4","43.4","0.3","2.0","125.5"
"Antonio Gibson","WAS","138.6","551.3","3.6","40.8","294.6","1.3","1.3","132.1"
"","high","162.9","643.4","4.4","46.9","370.8","1.9","0.7","177.4"
"","low","107.6","427.7","2.7","33.0","239.8","0.8","2.0","112.4"
"Khalil Herbert","CHI","152.2","786.2","4.4","17.5","118.5","0.8","0.6","129.2"
"","high","164.3","866.7","5.5","26.5","187.4","1.0","0.0","166.0"
"","low","140.1","669.1","3.3","11.7","76.9","0.7","2.0","107.7"
"Samaje Perine","DEN","137.1","583.2","3.5","26.7","223.1","1.3","0.3","122.5"
"","high","155.9","669.3","4.5","29.9","284.0","2.0","0.0","141.5"
"","low","118.5","469.1","2.5","19.1","134.1","0.7","1.0","108.3"
"Jeff Wilson Jr.","MIA","137.4","642.3","4.6","21.1","165.9","1.1","1.5","122.1"
"","high","158.3","831.9","6.5","31.0","258.9","1.6","1.1","195.1"
"","low","104.9","469.6","3.1","6.1","45.1","0.3","2.0","84.0"
"Jamaal Williams","NO","162.2","667.0","5.5","13.5","105.1","0.6","1.0","118.4"
"","high","186.0","741.9","6.6","21.7","165.5","1.4","0.5","141.1"
"","low","151.2","600.5","3.5","9.4","63.4","0.0","2.0","103.7"
"Rashaad Penny","PHI","154.3","748.2","5.0","7.2","51.5","0.3","0.9","113.2"
"","high","167.3","843.1","7.0","8.0","73.7","0.6","0.5","131.1"
"","low","140.6","650.7","3.4","5.8","39.9","0.0","2.0","101.5"
"Elijah Mitchell","SF","147.2","647.9","4.1","12.8","95.1","1.0","0.6","110.1"
"","high","153.2","696.5","5.2","18.3","149.9","2.0","0.0","131.2"
"","low","135.0","604.5","2.1","7.6","49.7","0.4","2.0","98.4"
"Tyler Allgeier","ATL","151.7","703.0","3.4","11.9","92.5","0.6","0.6","108.3"
"","high","167.8","784.6","5.2","15.2","123.7","1.0","0.0","137.9"
"","low","128.4","592.9","0.8","7.0","59.0","0.4","2.0","94.9"
"Raheem Mostert","MIA","130.2","579.2","3.1","22.9","161.6","0.9","1.1","107.4"
"","high","139.0","628.4","3.6","26.0","197.7","1.1","0.6","129.7"
"","low","113.5","509.0","1.9","21.3","135.1","0.7","2.0","90.5"
"Damien Harris","BUF","127.7","568.2","3.9","17.3","120.2","0.5","0.7","102.5"
"","high","178.0","750.5","5.0","22.8","161.6","1.1","0.4","127.7"
"","low","97.6","416.4","3.1","8.8","61.3","0.0","1.0","87.0"
"Devin Singletary","HOU","129.4","554.2","2.8","23.8","174.1","0.4","1.2","101.8"
"","high","147.0","590.5","4.0","28.0","202.4","0.7","0.8","136.9"
"","low","117.7","528.0","1.3","15.6","97.4","0.0","2.0","81.9"
"Zach Charbonnet","SEA","122.4","522.0","3.4","19.1","166.8","0.8","1.0","101.5"
"","high","149.7","635.0","5.0","25.5","232.6","1.1","0.6","135.5"
"","low","66.0","297.6","1.3","11.0","73.0","0.4","2.0","56.5"
"D'Onta Foreman","CHI","140.0","693.8","3.3","6.9","54.7","0.3","0.9","97.9"
"","high","164.8","851.8","5.9","11.0","80.5","0.5","0.5","135.5"
"","low","116.8","517.1","0.7","5.0","35.0","0.0","2.0","79.5"
"Jerick McKinnon","KC","60.0","230.1","1.5","35.8","315.5","2.8","0.5","97.5"
"","high","80.8","301.1","2.7","41.7","346.0","4.0","0.0","130.1"
"","low","37.0","144.0","1.0","30.0","266.0","1.3","1.0","69.9"
"Jaylen Warren","PIT","104.9","473.0","2.6","23.6","200.7","0.4","0.4","96.8"
"","high","113.1","510.1","3.1","26.0","256.2","0.9","0.0","119.8"
"","low","90.3","403.9","2.0","17.8","126.2","0.0","1.0","72.8"
"Chuba Hubbard","CAR","111.1","520.3","3.1","17.4","154.4","0.5","0.7","96.2"
"","high","123.0","764.5","4.9","21.6","231.0","1.0","0.5","160.7"
"","low","97.4","426.0","1.5","10.0","72.7","0.0","1.0","74.7"
"De'Von Achane","MIA","112.6","453.3","2.9","21.6","181.6","0.9","0.9","94.9"
"","high","145.9","605.4","4.0","28.3","267.0","1.4","0.3","131.4"
"","low","55.6","235.3","1.2","12.3","74.2","0.5","2.0","88.4"
"Kenneth Gainwell","PHI","92.0","403.1","3.7","22.1","168.9","0.7","0.6","93.3"
"","high","106.1","493.0","4.1","28.4","201.9","1.1","0.4","107.9"
"","low","70.4","308.5","3.2","14.9","105.8","0.0","1.0","81.0"
"Tank Bigsby","JAC","108.5","431.9","2.7","17.8","141.7","0.7","0.9","85.1"
"","high","128.4","513.7","3.5","26.4","190.6","1.3","0.4","107.9"
"","low","89.7","294.9","1.4","10.8","55.8","0.3","2.0","73.1"
"Chase Edmonds","TB","90.7","389.7","2.0","22.2","172.8","0.8","0.4","83.4"
"","high","110.0","485.2","2.9","26.0","200.3","1.0","0.0","123.5"
"","low","70.4","301.7","0.3","20.1","151.1","0.2","1.0","59.1"
"Gus Edwards","BAL","121.1","565.2","2.9","6.4","57.2","0.2","0.9","81.8"
"","high","133.0","650.8","4.7","9.4","82.0","0.4","0.6","91.6"
"","low","108.1","453.5","0.3","5.0","33.1","0.0","1.1","62.1"
"Roschon Johnson","CHI","100.7","453.2","2.4","8.9","100.7","0.5","1.0","75.3"
"","high","121.9","639.0","4.0","14.0","178.7","1.0","0.3","96.2"
"","low","66.6","281.6","1.1","3.8","26.7","0.2","2.0","67.6"
"Cordarrelle Patterson","ATL","72.6","308.7","2.4","19.2","159.0","0.8","0.4","74.6"
"","high","89.0","363.8","4.0","26.3","198.6","1.4","0.2","89.5"
"","low","53.5","255.5","0.9","12.0","97.0","0.4","1.0","70.6"
"Joshua Kelley","LAC","92.8","380.4","2.3","13.6","115.7","0.3","1.2","69.4"
"","high","104.5","437.6","3.8","23.1","163.2","0.7","0.5","100.2"
"","low","77.1","312.3","1.2","4.8","35.4","0.0","1.7","40.8"
"Michael Carter","NYJ","76.3","286.4","1.4","22.0","183.0","0.7","0.5","69.3"
"","high","104.0","368.4","1.9","29.4","250.8","1.2","0.2","107.7"
"","low","46.4","194.0","1.0","8.5","61.1","0.0","0.7","45.2"
"Tyjae Spears","TEN","89.8","353.7","1.8","15.3","126.6","0.6","0.8","68.5"
"","high","109.7","433.0","3.0","20.0","188.0","1.0","0.4","86.9"
"","low","73.7","282.0","0.7","11.0","61.4","0.2","2.0","63.2"
"Clyde Edwards-Helaire","KC","77.3","327.5","2.2","13.2","115.5","0.9","0.6","68.3"
"","high","118.7","451.0","4.0","16.6","151.8","2.0","0.2","92.7"
"","low","41.9","181.0","0.7","7.4","56.0","0.4","1.0","41.3"
"Zonovan Knight","NYJ","87.7","353.2","1.5","16.1","117.5","0.6","0.4","66.9"
"","high","98.0","395.9","2.4","21.9","151.7","1.2","0.1","79.9"
"","low","74.3","309.8","0.3","12.3","84.8","0.1","0.6","69.6"
"Chase Brown","CIN","74.3","300.2","1.8","18.0","145.9","0.6","0.8","66.7"
"","high","100.4","379.8","3.0","28.0","259.0","1.0","0.3","84.3"
"","low","48.4","204.1","0.5","11.8","80.6","0.2","2.0","47.3"
"Kendre Miller","NO","85.3","332.6","1.9","12.8","120.6","0.5","0.8","64.4"
"","high","126.9","506.0","3.0","19.0","194.0","1.0","0.2","103.6"
"","low","44.4","188.6","1.2","10.0","63.1","0.4","2.0","53.0"
"Jerome Ford","CLE","93.7","346.9","1.8","11.0","104.6","0.3","0.6","62.3"
"","high","112.7","496.4","3.4","19.4","172.1","0.8","0.1","93.7"
"","low","64.7","114.6","0.7","4.1","33.1","0.0","1.0","29.6"
"Pierre Strong Jr.","NE","82.0","325.8","1.8","10.2","90.0","0.2","0.5","58.0"
"","high","117.0","566.0","4.0","16.0","152.7","0.4","0.2","82.5"
"","low","40.9","163.5","0.6","6.2","43.4","0.0","1.0","49.1"
"Keaontay Ingram","ARI","75.1","303.0","1.8","13.6","91.4","0.3","0.4","57.9"
"","high","103.0","355.0","3.0","15.0","108.0","0.5","0.0","79.5"
"","low","54.2","204.4","0.0","12.7","71.5","0.0","1.0","47.6"
"Kyren Williams","LAR","83.3","302.3","1.2","14.4","120.7","0.3","0.5","57.7"
"","high","96.3","401.6","2.3","23.6","184.1","0.8","0.1","77.4"
"","low","75.9","147.6","0.4","7.9","58.8","0.0","1.0","37.2"
"Israel Abanikanda","NYJ","72.6","295.6","1.5","11.5","114.9","0.4","0.9","56.8"
"","high","113.0","492.0","4.0","18.0","180.0","1.0","0.1","80.7"
"","low","10.4","42.3","0.3","4.9","34.0","0.1","2.0","70.5"
"Ronald Jones II","DAL","91.1","371.9","2.2","4.9","42.2","0.1","0.7","56.1"
"","high","116.0","523.0","3.0","6.2","65.7","0.3","0.4","63.5"
"","low","78.6","274.5","0.1","3.0","26.0","0.0","1.0","43.2"
"Latavius Murray","BUF","62.5","293.5","1.7","10.3","75.1","0.2","0.3","52.7"
"","high","108.0","434.3","3.0","15.3","126.4","0.4","0.0","96.2"
"","low","20.1","87.0","0.6","6.8","44.8","0.0","1.0","24.3"
"Ty Chandler","MIN","83.1","274.9","1.7","9.8","80.7","0.4","0.7","52.2"
"","high","114.0","458.0","4.0","15.0","135.0","1.0","0.0","71.9"
"","low","62.5","12.8","0.1","1.2","11.3","0.0","2.0","9.4"
"Matt Breida","NYG","61.1","274.1","1.2","12.9","106.6","0.3","0.9","52.1"
"","high","85.2","366.1","2.2","17.0","168.6","0.6","0.3","85.8"
"","low","48.8","221.7","0.3","6.0","44.3","0.0","1.2","30.4"
"Malik Davis","DAL","71.0","293.3","1.7","6.2","61.0","0.2","0.3","49.2"
"","high","95.8","406.3","2.8","8.6","96.8","0.5","0.0","68.8"
"","low","37.0","151.0","0.1","3.0","33.0","0.0","0.4","16.1"
"Isaiah Spiller","LAC","70.5","274.3","1.2","9.5","82.2","0.3","0.3","48.7"
"","high","94.4","391.9","2.2","14.0","135.9","0.6","0.2","73.1"
"","low","55.7","194.3","0.4","5.1","24.1","0.1","0.5","39.7"
"Zamir White","LV","59.4","253.1","1.9","10.4","48.6","0.3","0.2","48.3"
"","high","102.7","437.2","3.2","16.5","112.9","0.7","0.0","86.8"
"","low","0.0","0.0","0.0","4.3","0.0","0.0","0.3","82.5"
"Kenyan Drake","IND","55.2","231.3","1.2","13.0","98.4","0.2","0.4","47.1"
"","high","65.4","319.0","2.2","20.2","193.5","0.5","0.2","93.5"
"","low","44.0","165.0","0.0","5.0","26.0","0.0","1.0","18.5"
"Zack Moss","IND","63.7","283.5","1.2","9.0","60.8","0.2","0.5","46.5"
"","high","113.0","450.0","2.6","11.0","82.2","0.3","0.2","71.0"
"","low","29.7","131.0","0.2","7.1","40.1","0.0","1.0","30.1"
"Corey Clement","ARI","57.8","210.3","1.7","11.7","81.5","0.2","0.4","45.4"
"","high","118.0","439.0","5.0","15.0","128.0","0.4","0.0","73.9"
"","low","23.9","100.0","0.0","6.6","40.0","0.0","1.0","24.8"
"Zach Evans","LAR","60.9","221.8","1.2","9.3","87.0","0.4","0.5","44.3"
"","high","100.4","379.8","2.0","14.0","140.9","1.0","0.2","74.9"
"","low","36.9","152.8","0.5","6.3","41.6","0.2","1.0","35.5"
"Deuce Vaughn","DAL","47.4","214.2","1.2","11.2","84.9","0.3","0.5","43.4"
"","high","72.2","298.8","2.8","17.0","124.4","0.7","0.2","75.1"
"","low","33.1","141.9","0.1","4.0","36.0","0.0","1.0","17.6"
"JaMycal Hasty","JAC","37.4","181.0","1.0","12.8","96.9","0.4","0.4","41.8"
"","high","73.0","319.0","2.0","19.0","134.3","1.0","0.1","71.9"
"","low","11.2","47.1","0.2","4.5","30.5","0.1","1.0","16.8"
"Ty Montgomery","NE","38.7","118.6","0.6","19.1","128.6","0.7","0.1","41.7"
"","high","44.6","192.4","1.2","29.3","220.4","1.3","0.0","61.3"
"","low","30.0","32.3","0.0","8.5","68.0","0.0","0.3","22.6"
"Eric Gray","NYG","50.9","216.3","1.1","8.5","72.8","0.4","0.5","41.4"
"","high","78.0","381.0","3.0","13.0","110.0","1.0","0.1","60.2"
"","low","12.4","51.1","0.0","4.0","28.0","0.0","1.0","43.8"
"Melvin Gordon III","BAL","42.5","187.5","0.9","11.7","89.3","0.3","0.8","39.2"
"","high","85.3","339.0","2.1","22.5","197.8","0.8","0.3","97.4"
"","low","13.5","58.4","0.0","5.6","37.2","0.0","1.1","18.7"
