"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Josh Allen","BUF","578.1","365.0","4,300.1","32.3","14.2","116.7","661.0","6.3","4.2","382.4"
"","high","615.7","390.9","4,596.0","35.5","10.9","127.9","704.0","7.5","2.2","446.5"
"","low","532.8","342.8","4,077.0","30.3","19.0","106.0","598.2","5.0","5.5","357.6"
"Patrick Mahomes II","KC","609.3","405.2","4,826.7","37.4","11.2","64.8","351.8","3.2","1.9","381.8"
"","high","644.5","427.0","5,173.6","39.0","9.1","69.0","404.7","3.7","1.0","449.0"
"","low","553.1","372.1","4,440.3","33.1","12.9","59.2","305.8","2.9","3.8","366.5"
"Jalen Hurts","PHI","493.9","318.0","3,822.6","23.7","10.1","157.7","801.1","11.0","2.9","378.0"
"","high","530.5","349.8","4,039.4","28.0","8.0","174.0","933.2","15.6","1.0","426.0"
"","low","457.0","291.1","3,507.0","18.8","14.7","141.8","670.4","7.7","4.6","337.5"
"Lamar Jackson","BAL","481.8","305.9","3,488.9","25.6","11.6","148.0","938.4","5.5","3.0","350.9"
"","high","536.0","330.0","3,706.0","28.0","10.0","168.0","1,082.1","7.3","1.5","396.1"
"","low","402.6","263.0","3,090.5","20.1","16.0","130.0","777.0","3.0","4.3","327.6"
"Joe Burrow","CIN","591.3","402.0","4,589.9","32.7","12.9","63.8","269.3","3.7","2.3","346.1"
"","high","634.3","425.1","4,780.5","34.0","11.6","70.3","423.6","4.6","0.6","400.1"
"","low","567.5","391.2","4,316.0","29.0","14.2","56.0","189.0","2.5","3.7","331.2"
"Justin Fields","CHI","410.7","252.7","2,927.3","20.4","12.9","160.2","1,066.2","6.8","3.5","326.5"
"","high","464.0","283.0","3,245.0","22.4","10.0","184.7","1,235.2","8.5","0.7","375.8"
"","low","351.8","213.3","2,626.8","17.3","19.0","138.9","912.1","6.0","5.9","308.9"
"Justin Herbert","LAC","627.2","421.4","4,592.8","30.1","12.7","57.2","220.9","2.0","2.0","321.6"
"","high","689.0","467.0","4,813.2","31.7","11.3","60.5","274.5","3.6","0.4","383.1"
"","low","591.1","397.5","4,305.1","29.0","15.9","54.0","174.0","1.0","3.8","296.1"
"Deshaun Watson","CLE","503.8","324.0","3,850.6","24.7","11.0","97.1","485.8","4.1","1.8","311.2"
"","high","543.0","342.0","4,021.6","28.1","9.0","113.3","553.0","7.0","0.5","336.0"
"","low","474.5","314.9","3,748.0","22.8","16.0","82.0","376.0","2.0","3.4","297.3"
"Dak Prescott","DAL","552.1","364.3","4,120.7","29.2","13.8","58.8","251.4","2.4","3.1","301.2"
"","high","580.3","378.4","4,218.9","32.0","12.9","66.0","304.6","3.1","1.8","342.9"
"","low","536.6","353.2","3,893.0","26.4","16.0","55.0","199.0","1.0","3.7","281.8"
"Trevor Lawrence","JAC","578.4","378.4","4,088.5","26.9","12.2","62.5","285.3","3.9","5.2","300.6"
"","high","595.9","395.1","4,329.7","30.0","9.1","69.0","311.0","6.8","1.8","348.3"
"","low","562.9","363.3","3,894.9","24.0","14.6","55.8","250.4","2.9","8.0","282.3"
"Kirk Cousins","MIN","593.0","395.1","4,442.7","30.3","12.3","31.6","92.1","1.5","2.8","299.4"
"","high","636.0","429.0","4,616.0","31.8","9.9","41.6","102.4","2.0","0.7","357.2"
"","low","508.2","346.9","4,147.6","28.0","14.0","23.0","63.8","0.9","4.2","285.1"
"Daniel Jones","NYG","515.6","335.4","3,471.2","20.8","10.0","109.3","636.5","4.9","4.1","296.8"
"","high","540.8","355.2","3,629.8","22.0","6.0","122.0","750.8","5.7","1.9","335.8"
"","low","501.0","326.0","3,315.0","19.6","11.9","91.1","553.9","4.0","6.9","268.9"
"Geno Smith","SEA","544.4","370.7","4,049.8","27.1","11.3","62.2","323.2","2.0","3.5","296.2"
"","high","589.0","400.0","4,258.9","28.9","8.8","72.0","366.5","4.0","1.6","362.9"
"","low","467.7","328.1","3,649.8","25.2","13.0","55.4","274.9","1.0","4.2","271.6"
"Aaron Rodgers","NYJ","559.3","361.9","4,060.8","28.1","8.7","35.5","121.5","1.5","2.6","282.1"
"","high","610.0","381.0","4,377.0","30.8","6.5","41.2","163.3","2.0","1.3","329.3"
"","low","491.6","329.7","3,750.1","25.0","11.0","30.0","83.0","1.0","3.7","270.5"
"Russell Wilson","DEN","510.8","321.7","3,791.8","23.9","10.9","63.4","317.3","2.6","2.1","279.6"
"","high","552.8","353.4","3,977.2","27.8","8.6","66.0","355.0","4.0","0.4","309.5"
"","low","447.8","286.7","3,441.3","22.0","13.0","59.0","261.0","1.8","3.8","253.3"
"Tua Tagovailoa","MIA","524.4","346.0","4,072.0","27.0","12.0","42.3","131.7","1.6","1.8","278.4"
"","high","595.6","384.6","4,462.4","31.1","10.6","60.4","165.7","2.6","1.0","323.7"
"","low","488.7","326.0","3,915.0","24.0","13.6","32.1","95.0","1.0","3.9","252.7"
"Jared Goff","DET","568.6","373.5","4,222.3","27.6","11.0","31.2","80.7","1.2","3.5","276.3"
"","high","600.5","389.7","4,443.4","30.6","7.0","35.7","90.5","1.6","1.3","332.0"
"","low","551.0","363.0","3,939.9","24.1","13.3","22.7","69.4","1.0","4.9","244.5"
"Anthony Richardson","IND","488.1","301.5","3,208.9","18.1","13.2","135.6","610.8","4.2","2.3","269.6"
"","high","576.4","374.8","4,249.8","26.4","10.0","200.0","1,039.0","5.9","0.7","308.9"
"","low","443.8","268.6","2,893.2","15.6","20.0","79.8","145.0","1.5","3.8","182.9"
"Derek Carr","NO","510.4","335.2","3,937.2","23.7","11.8","34.5","116.5","0.9","2.6","252.4"
"","high","538.0","357.1","4,198.7","26.6","10.9","36.0","155.4","2.1","0.6","287.1"
"","low","491.0","318.0","3,679.0","22.2","13.0","34.0","81.7","0.0","4.2","238.6"
"Matthew Stafford","LAR","529.7","351.9","3,997.7","24.5","13.2","29.9","71.0","0.9","2.8","251.1"
"","high","560.5","372.2","4,284.8","26.5","10.6","38.3","121.1","1.3","1.0","304.5"
"","low","496.8","329.8","3,710.0","20.7","17.0","26.0","50.0","0.0","4.0","238.2"
"Jordan Love","GB","544.1","344.2","3,812.0","23.2","14.8","43.5","168.5","1.5","2.6","250.8"
"","high","602.5","382.7","4,298.5","25.7","12.5","55.6","248.7","2.3","1.0","295.2"
"","low","500.3","315.7","3,525.1","19.8","17.8","16.0","43.0","0.0","4.8","212.1"
"Kenny Pickett","PIT","502.2","316.9","3,309.4","17.5","12.4","67.0","421.2","3.6","1.5","250.6"
"","high","571.0","364.0","3,696.0","21.8","9.2","78.0","1,047.9","7.9","0.7","288.2"
"","low","397.1","233.1","2,209.1","4.9","16.0","58.8","264.8","2.0","3.1","231.6"
"Bryce Young","CAR","525.1","331.2","3,665.0","20.5","12.9","51.1","200.6","1.6","2.3","240.4"
"","high","546.8","350.4","3,878.0","23.6","10.0","73.1","284.7","2.0","0.9","269.0"
"","low","493.0","311.0","3,450.0","17.0","15.7","31.0","138.0","1.0","3.9","206.6"
"Brock Purdy","SF","431.2","281.8","3,346.8","23.7","9.8","36.2","107.0","2.1","1.4","239.3"
"","high","542.0","351.2","3,738.3","26.0","6.7","41.4","216.5","3.3","0.8","286.0"
"","low","356.0","242.4","2,987.7","18.8","13.3","27.0","35.0","1.0","2.0","201.2"
"Jimmy Garoppolo","LV","486.3","321.4","3,575.1","21.5","11.9","30.5","67.0","1.5","2.3","228.2"
"","high","576.4","380.9","3,888.0","25.3","11.0","34.2","134.7","2.0","1.0","290.2"
"","low","383.2","257.1","3,222.1","18.0","13.0","26.0","40.0","1.0","3.5","187.0"
"Ryan Tannehill","TEN","452.5","294.2","3,268.4","19.0","10.9","41.3","162.7","2.3","2.1","221.9"
"","high","500.6","327.4","3,770.6","22.5","7.0","46.8","192.4","4.2","0.8","244.0"
"","low","385.9","254.7","2,843.5","17.0","19.0","28.0","85.0","1.0","3.1","192.9"
"C.J. Stroud","HOU","512.0","320.9","3,402.6","18.9","14.1","49.4","173.7","1.4","2.4","218.4"
"","high","548.0","345.0","3,612.4","21.4","11.0","63.8","304.0","2.0","0.8","262.4"
"","low","476.4","303.0","3,271.6","14.2","18.0","33.0","109.0","1.0","3.8","185.4"
"Mac Jones","NE","494.2","323.4","3,443.3","18.9","13.4","50.8","149.7","1.2","2.1","217.8"
"","high","562.8","364.6","3,814.4","23.4","11.7","57.0","211.0","1.9","1.2","247.4"
"","low","441.7","293.8","3,080.1","14.9","18.0","46.9","118.0","0.5","3.2","170.0"
"Kyler Murray","ARI","432.5","285.1","2,779.4","14.2","9.7","80.9","428.1","3.0","1.9","215.1"
"","high","577.0","370.0","3,481.0","18.0","6.5","97.0","556.0","4.0","0.6","267.0"
"","low","340.0","224.0","2,050.0","12.6","20.0","58.7","329.3","2.0","2.9","168.3"
"Sam Howell","WAS","477.0","297.9","3,056.4","17.0","12.3","52.8","219.0","1.8","2.4","205.6"
"","high","565.2","355.4","3,894.6","22.0","8.0","70.4","319.4","2.9","0.7","252.0"
"","low","326.0","196.0","2,090.1","10.6","17.0","37.0","108.5","1.0","3.6","148.3"
"Desmond Ridder","ATL","437.3","269.6","2,911.6","16.4","10.2","38.8","169.0","1.4","3.0","191.2"
"","high","502.3","310.9","3,275.1","21.0","6.0","47.0","279.3","2.1","1.1","220.0"
"","low","388.8","241.0","2,685.0","13.0","15.3","21.0","82.0","1.0","4.0","163.8"
"Baker Mayfield","TB","458.8","281.8","2,996.3","15.9","11.4","34.5","123.9","1.1","2.1","187.1"
"","high","600.8","372.6","3,963.6","24.1","7.0","47.6","204.1","1.8","0.8","245.1"
"","low","348.2","211.0","2,360.0","11.6","16.6","21.0","72.0","0.7","3.0","137.1"
"Jacoby Brissett","WAS","193.4","112.4","1,252.4","5.1","3.9","23.0","90.7","0.8","1.5","77.2"
"","high","385.3","208.1","1,901.5","9.4","1.0","40.4","150.9","1.6","0.0","134.3"
"","low","26.0","16.0","173.0","1.0","5.9","3.0","12.0","0.0","4.4","6.0"
"Kyle Trask","TB","228.7","138.3","1,375.3","6.0","6.5","18.8","50.5","0.2","1.2","76.7"
"","high","341.3","203.5","1,969.2","8.1","3.0","38.2","75.5","0.6","0.0","99.4"
"","low","148.0","88.0","834.0","4.0","11.7","5.0","14.0","0.0","2.5","42.0"
"Colt McCoy","ARI","181.1","118.2","1,264.1","4.7","4.7","19.1","63.3","0.5","1.0","71.6"
"","high","303.5","201.9","1,854.8","8.8","2.0","47.0","100.1","1.0","0.0","119.7"
"","low","59.0","36.0","336.0","1.6","7.0","6.0","20.0","0.0","2.2","13.0"
"Will Levis","TEN","134.9","83.3","979.1","4.1","4.5","18.5","61.3","0.3","0.9","57.2"
"","high","339.5","209.6","2,121.5","7.3","1.0","46.0","120.0","0.9","0.0","93.6"
"","low","15.0","9.0","103.0","1.0","8.6","1.0","5.0","0.0","2.5","6.0"
"Trey Lance","SF","126.5","77.8","802.5","3.1","3.5","23.1","94.2","0.6","0.8","52.3"
"","high","346.3","213.8","2,240.2","6.0","0.0","60.0","212.9","1.0","0.0","111.6"
"","low","4.0","2.0","31.0","0.0","10.9","1.0","5.0","0.0","2.7","0.0"
"Brian Hoyer","LV","98.1","59.5","742.8","4.0","4.0","10.4","32.5","0.2","0.8","44.7"
"","high","123.1","70.4","1,217.1","6.3","2.0","26.7","70.6","0.8","0.0","75.8"
"","low","76.0","46.0","522.0","1.3","8.2","3.0","7.0","0.0","1.8","16.2"
"Taylor Heinicke","ATL","99.0","60.6","704.7","3.8","3.9","18.1","51.0","0.2","1.2","43.4"
"","high","132.1","74.4","856.4","6.0","1.0","30.3","83.6","0.6","0.1","67.7"
"","low","41.0","26.0","293.0","2.0","8.5","6.0","26.0","0.0","2.7","13.0"
"Gardner Minshew II","IND","74.2","46.6","665.1","2.7","2.3","11.9","41.3","0.2","1.2","38.1"
"","high","152.9","94.5","1,240.4","7.1","1.0","20.3","59.2","0.7","0.5","81.8"
"","low","20.0","13.0","128.0","0.2","4.0","5.0","21.0","0.0","2.6","5.0"
"Mike White","MIA","94.6","56.6","606.9","2.8","3.7","12.6","20.3","0.1","0.6","33.0"
"","high","185.7","107.4","975.9","4.0","2.0","29.4","50.2","0.3","0.0","41.5"
"","low","57.0","35.0","429.0","1.4","9.0","3.0","5.0","0.0","2.0","18.0"
"Bailey Zappe","NE","100.3","61.3","598.8","2.4","3.6","12.0","22.4","0.1","1.1","30.8"
"","high","185.7","107.4","975.9","4.0","1.0","29.4","50.2","0.3","0.2","48.3"
"","low","21.0","14.0","137.0","1.0","9.0","4.0","4.0","0.0","2.0","4.0"
"Clayton Tune","ARI","107.3","64.4","641.2","1.1","3.9","16.0","43.4","0.3","1.1","29.8"
"","high","145.0","86.1","809.2","2.2","2.0","24.7","53.6","0.3","0.5","28.4"
"","low","69.7","42.7","473.3","0.0","5.9","7.4","33.3","0.2","1.7","25.2"
"Sam Darnold","SF","109.5","63.5","529.9","2.1","3.6","14.6","40.6","0.1","1.1","28.5"
"","high","280.0","154.5","1,448.1","4.0","0.3","39.7","122.9","0.5","0.0","44.2"
"","low","34.0","22.0","47.9","0.2","13.2","4.0","0.2","0.0","3.7","2.5"
"Davis Mills","HOU","84.6","49.6","516.0","1.6","4.0","14.5","31.7","0.2","0.6","26.4"
"","high","165.9","92.4","820.7","3.1","1.0","33.0","61.6","0.4","0.0","39.7"
"","low","22.0","14.0","138.0","0.0","10.7","5.0","18.0","0.0","1.8","7.0"
"Tyrod Taylor","NYG","42.0","27.2","285.9","2.0","1.3","14.3","59.2","0.2","0.3","24.9"
"","high","67.3","42.1","452.2","3.3","0.0","29.4","145.3","0.5","0.0","34.2"
"","low","21.0","14.0","135.0","1.0","1.9","5.0","22.0","0.0","0.6","9.0"
"Marcus Mariota","PHI","54.6","34.3","325.4","1.6","1.2","15.4","48.8","0.3","0.4","23.8"
"","high","77.0","49.4","465.8","3.4","0.0","35.3","103.1","1.0","0.0","41.4"
"","low","21.0","14.0","125.2","0.0","2.9","6.0","4.7","0.0","0.8","8.5"
"Mitch Trubisky","PIT","61.1","40.3","374.1","1.6","1.7","9.0","26.9","0.3","0.2","23.5"
"","high","77.0","55.0","525.0","3.0","1.0","18.6","44.8","0.6","0.0","40.7"
"","low","23.0","15.0","148.0","0.0","3.0","5.0","19.0","0.0","0.5","7.0"
"Tyler Huntley","BAL","52.6","33.1","312.3","1.4","1.4","19.8","59.4","0.2","0.5","22.8"
"","high","77.6","46.4","402.6","2.8","1.0","48.9","144.6","0.5","0.0","32.1"
"","low","22.0","14.0","151.0","0.0","1.8","5.0","25.0","0.0","1.1","7.0"
"Andy Dalton","CAR","65.3","40.6","406.4","1.9","2.4","7.3","15.6","0.1","0.4","22.6"
"","high","124.3","75.2","662.2","2.4","1.0","17.6","28.8","0.2","0.0","27.6"
"","low","21.0","13.0","154.0","1.0","6.5","2.0","5.0","0.0","1.2","7.0"
"Jarrett Stidham","DEN","60.3","34.3","349.1","2.2","2.3","5.3","10.9","0.1","0.4","21.5"
"","high","121.7","60.6","622.6","4.0","0.9","10.9","20.0","0.2","0.0","40.1"
"","low","22.0","14.0","159.0","0.8","7.0","3.0","5.3","0.0","0.9","7.0"
"Brett Rypien","LAR","57.4","32.4","430.8","2.0","5.6","26.2","27.2","0.1","0.9","21.2"
"","high","57.4","32.4","580.3","2.6","3.8","26.2","39.1","0.3","0.2","30.0"
"","low","57.4","32.4","281.4","1.3","7.4","26.2","15.3","0.0","1.6","5.4"
"Sean Clifford","GB","53.2","32.8","374.3","1.6","2.6","8.8","20.0","0.2","0.6","20.7"
"","high","76.7","44.9","496.4","2.9","1.0","19.4","39.5","0.4","0.0","31.7"
"","low","16.0","10.0","113.0","0.0","5.1","1.0","4.0","0.0","1.5","6.0"
"Hendon Hooker","DET","105.3","62.0","573.8","0.0","5.4","20.6","43.1","0.2","1.6","19.9"
"","high","105.3","62.0","573.8","0.0","5.4","20.6","43.1","0.2","1.6","16.2"
"","low","105.3","62.0","573.8","0.0","5.4","20.6","43.1","0.2","1.6","16.2"
"Blaine Gabbert","KC","51.9","30.5","337.6","1.7","2.6","11.2","21.2","0.1","0.5","19.3"
"","high","90.7","51.5","453.0","2.3","0.0","26.5","40.8","0.3","0.0","27.3"
"","low","26.0","16.0","180.0","1.0","7.8","3.0","8.4","0.0","1.7","8.0"
"Nick Mullens","MIN","45.8","34.4","339.9","1.9","2.1","5.0","8.8","0.1","0.7","19.3"
"","high","74.0","61.0","463.1","2.7","1.0","9.0","16.0","0.2","0.2","26.8"
"","low","26.0","18.0","189.0","1.0","3.9","2.0","5.0","0.0","1.3","4.0"
"Teddy Bridgewater","DET","61.1","33.1","352.3","1.2","1.6","4.9","14.0","0.1","0.2","19.1"
"","high","127.3","62.4","503.7","2.3","0.0","6.7","21.0","0.2","0.0","27.3"
"","low","23.0","15.0","173.0","0.0","3.4","2.9","7.7","0.0","0.5","9.0"
"Trevor Siemian","CIN","68.6","41.6","347.6","1.7","2.7","11.7","17.3","0.1","0.5","19.1"
"","high","111.0","63.4","561.6","3.0","0.9","27.0","42.5","0.2","0.0","23.0"
"","low","37.9","23.5","171.7","0.6","8.0","4.0","0.2","0.0","1.8","8.7"
"P.J. Walker","CHI","85.7","43.6","369.3","1.5","4.0","9.9","21.6","0.1","0.4","18.9"
"","high","153.4","68.5","576.4","2.8","1.6","21.9","52.8","0.3","0.0","27.2"
"","low","42.0","25.0","190.3","0.6","10.4","2.0","0.6","0.0","1.0","8.4"
"Joshua Dobbs","CLE","54.5","32.5","335.9","1.5","2.6","10.7","27.4","0.1","0.6","18.9"
"","high","111.0","63.4","561.6","2.0","0.9","27.0","42.5","0.3","0.0","28.6"
"","low","22.0","14.0","153.0","1.0","8.0","4.8","20.3","0.0","1.8","7.0"
"Zach Wilson","NYJ","94.1","52.5","472.9","0.8","5.2","5.4","13.4","0.2","0.5","18.4"
"","high","154.7","84.2","865.5","1.6","0.8","8.2","28.6","0.2","0.1","20.4"
"","low","33.5","20.8","228.8","0.0","13.5","2.6","0.6","0.1","1.4","15.5"
"Stetson Bennett","LAR","69.3","43.0","356.6","1.1","1.7","8.8","18.2","0.1","0.5","18.4"
"","high","130.4","77.2","720.8","2.6","0.0","22.7","48.7","0.2","0.0","30.7"
"","low","16.0","11.0","42.6","0.0","5.7","1.0","0.3","0.0","1.6","2.1"
"Jameis Winston","NO","35.6","23.9","300.2","1.5","1.3","4.0","10.1","0.2","0.2","18.4"
"","high","56.0","39.3","623.7","2.8","0.0","5.0","19.0","0.5","0.0","28.9"
"","low","20.0","13.0","156.0","0.7","3.1","2.9","2.8","0.0","0.5","9.0"
"Easton Stick","LAC","64.5","37.8","342.2","1.6","3.6","15.2","20.6","0.2","0.7","18.3"
"","high","90.7","51.5","453.0","2.0","1.0","26.5","40.8","0.4","0.1","18.6"
"","low","38.4","24.2","258.0","1.3","7.8","4.0","5.0","0.0","1.7","10.8"
"C.J. Beathard","JAC","56.5","33.0","341.2","1.5","2.9","11.6","20.0","0.1","0.6","18.2"
"","high","111.0","63.4","561.6","1.9","0.7","27.0","42.5","0.3","0.0","25.0"
"","low","24.0","14.0","146.0","1.0","8.0","3.7","5.0","0.0","1.8","6.0"
"Drew Lock","SEA","50.8","27.8","318.1","1.6","2.7","5.5","16.1","0.1","0.5","17.5"
"","high","96.7","47.0","529.2","2.0","0.9","8.9","18.0","0.3","0.0","21.4"
"","low","22.0","15.0","163.0","1.0","7.1","3.6","14.6","0.0","1.7","7.0"
"Cooper Rush","DAL","36.1","22.4","271.2","1.5","1.2","2.9","6.6","0.1","0.2","16.4"
"","high","53.5","34.5","361.4","1.9","0.8","5.0","11.2","0.2","0.0","19.7"
"","low","23.0","13.0","146.0","1.0","1.5","0.0","0.0","0.0","0.3","6.0"
"David Blough","ARI","87.0","52.0","307.6","1.2","2.0","7.0","12.8","0.0","0.5","15.6"
"","high","87.0","52.0","494.0","2.0","1.0","7.0","25.0","0.1","0.1","18.0"
"","low","87.0","52.0","121.1","0.5","3.0","7.0","0.6","0.0","1.0","5.4"
"Kyle Allen","BUF","57.8","35.8","387.2","1.2","5.1","10.2","25.3","0.2","2.3","14.1"
"","high","92.5","57.5","609.4","1.4","1.0","18.3","38.5","0.3","0.0","11.9"
"","low","23.0","14.0","165.0","1.0","9.2","2.0","12.0","0.0","4.5","6.0"
"Aidan O'Connell","LV","65.4","38.8","296.2","0.5","2.4","11.4","17.8","0.1","0.6","12.9"
"","high","112.8","66.6","618.2","1.0","0.8","21.7","45.6","0.2","0.0","18.0"
"","low","18.0","11.0","132.0","0.0","5.5","1.0","3.7","0.0","1.6","6.0"
"Matt Barkley","BUF","38.7","23.5","214.7","1.0","1.2","3.1","4.7","0.1","0.3","12.3"
"","high","38.7","23.5","251.0","1.6","1.1","3.1","9.4","0.1","0.1","15.2"
"","low","38.7","23.5","178.4","0.5","1.3","3.1","0.0","0.1","0.4","7.9"
"Malik Willis","TEN","79.6","45.5","311.8","0.5","3.4","16.1","22.0","0.0","0.6","12.2"
"","high","139.2","79.9","715.8","1.3","0.7","28.2","45.7","0.1","0.0","19.8"
"","low","20.0","11.0","93.5","0.0","8.4","4.0","1.3","0.0","1.8","1.0"
"Dorian Thompson-Robinson","CLE","42.4","25.1","240.9","0.5","2.5","9.7","21.1","0.1","0.7","10.4"
"","high","68.8","40.2","366.8","1.0","0.0","18.4","37.1","0.2","0.0","9.0"
"","low","16.0","10.0","115.0","0.0","5.0","1.0","5.0","0.0","1.4","8.0"
"Max Duggan","LAC","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","10.1"
"","high","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"","low","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"Jaren Hall","MIN","19.0","13.0","141.0","1.0","0.0","1.0","3.0","0.0","0.0","9.9"
"","high","19.0","13.0","141.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"","low","19.0","13.0","141.0","1.0","0.0","1.0","3.0","0.0","0.0","8.0"
"Tanner McKee","PHI","16.0","10.0","120.0","1.0","0.0","1.0","6.0","0.0","0.0","9.4"
"","high","16.0","10.0","120.0","1.0","0.0","1.0","6.0","0.0","0.0","8.0"
"","low","16.0","10.0","120.0","1.0","0.0","1.0","6.0","0.0","0.0","8.0"
"Skylar Thompson","MIA","90.7","51.5","243.7","0.7","4.0","26.5","20.4","0.0","0.9","9.1"
"","high","90.7","51.5","453.0","1.3","0.3","26.5","40.8","0.0","0.0","10.8"
"","low","90.7","51.5","34.5","0.2","7.8","26.5","0.1","0.0","1.7","1.8"
"Jake Haener","NO","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","9.1"
"","high","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","8.0"
"","low","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","8.0"
"Mason Rudolph","PIT","51.2","34.9","122.3","0.5","1.2","17.7","14.2","0.0","0.0","7.3"
"","high","51.2","34.9","228.9","1.0","0.1","17.7","28.3","0.0","0.0","8.5"
"","low","51.2","34.9","15.7","0.1","2.2","17.7","0.0","0.0","0.0","0.8"
"Case Keenum","HOU","119.6","59.1","225.4","0.3","1.3","10.0","0.6","0.0","0.8","7.3"
"","high","119.6","59.1","414.2","0.4","0.1","10.0","1.2","0.0","0.0","10.2"
"","low","119.6","59.1","36.5","0.1","2.4","10.0","0.1","0.0","1.6","1.8"
"Matt Corral","CAR","68.8","40.2","197.3","0.1","2.6","18.4","19.2","0.1","0.7","6.9"
"","high","68.8","40.2","366.8","0.2","0.1","18.4","37.1","0.2","0.0","9.0"
"","low","68.8","40.2","27.7","0.0","5.0","18.4","1.3","0.0","1.4","1.9"
"Sam Ehlinger","IND","20.8","11.6","100.1","1.5","7.1","30.3","44.5","0.0","1.6","4.2"
"","high","20.8","11.6","100.1","1.5","7.1","30.3","44.5","0.0","1.6","1.8"
"","low","20.8","11.6","100.1","1.5","7.1","30.3","44.5","0.0","1.6","1.8"
"Shane Buechele","KC","0.0","0.0","34.0","0.1","0.2","0.0","0.2","0.0","0.0","1.7"
"","high","0.0","0.0","34.0","0.1","0.2","0.0","0.2","0.0","0.0","1.6"
"","low","0.0","0.0","34.0","0.1","0.2","0.0","0.2","0.0","0.0","1.6"
"Nate Sudfeld","DET","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"","high","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"","low","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"Tommy DeVito","NYG","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"","high","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"","low","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"Will Grier","DAL","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
"","high","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
"Josh Johnson","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
""
""